Key West, FL ; 24.5550593 ; -81.7799871 ; Fort Kent, ME ; 47.2586502 ; -68.589491
Everett, WA ; 47.9789848 ; -122.2020795 ; St. Ignace, MI ; 45.8755685 ; -84.7322959
Rouses Point, NY ; 44.9939279 ; -73.36485569999999 ; Houlton, ME ; 46.1261806 ; -67.8402316
Boston, MA ; 42.3600825 ; -71.0588801 ; Pittsburg, NH ; 45.0511571 ; -71.3914688
Albany, NY ; 42.6525793 ; -73.7562317 ; Portsmouth, NH ; 43.0717552 ; -70.7625532
New Haven, CT ; 41.308274 ; -72.9278835 ; Derby Line, VT ; 45.002228 ; -72.10116599999999
Bishop, CA ; 37.3614238 ; -118.3996636 ; Provincetown, MA ; 42.0584412 ; -70.1786425
Norwalk, CT ; 41.11774399999999 ; -73.4081575 ; Highgate Springs, VT ; 44.979486 ; -73.1054065
Forest Lake, MN ; 45.2788561 ; -92.9852183 ; Norway, MI ; 45.7869023 ; -87.9037364
Laurel, DE ; 38.5565041 ; -75.5713141 ; Champlain, NY ; 44.9864273 ; -73.4465251
West Fargo, ND ; 46.8769487 ; -96.89990569999999 ; Bay City, MI ; 43.5944677 ; -83.8888647
New Orleans, LA ; 29.95106579999999 ; -90.0715323 ; Rouses Point, NY ; 44.9939279 ; -73.36485569999999
Aberdeen, WA ; 46.9753708 ; -123.8157218 ; Detroit, MI ; 42.331427 ; -83.0457538
Fayetteville, NC ; 35.0526641 ; -78.87835849999999 ; Morrisville, PA ; 40.2114977 ; -74.7879399
Yellowstone National Park ; 44.427963 ; -110.588455 ; Chicago, IL ; 41.8781136 ; -87.6297982
Walterboro, SC ; 32.9051704 ; -80.6667688 ; Corning, NY ; 42.1428521 ; -77.05469029999999
Yellowstone National Park ; 44.427963 ; -110.588455 ; Rapid City, SD ; 44.0805434 ; -103.2310149
Punta Gorda, FL ; 26.9297836 ; -82.0453664 ; Winchester, VA ; 39.1856597 ; -78.1633341
Wilmington, NC ; 34.2257255 ; -77.9447102 ; Petersburg, VA ; 37.2279279 ; -77.40192669999999
Douglas, WY ; 42.7596897 ; -105.3822069 ; Milwaukee, WI ; 43.0389025 ; -87.9064736
St. Petersburg, FL ; 27.7676008 ; -82.64029149999999 ; Erie, PA ; 42.12922409999999 ; -80.085059
Yellowstone National Park ; 44.427963 ; -110.588455 ; Boston, MA ; 42.3600825 ; -71.0588801
Beaufort, SC ; 32.4315813 ; -80.6698286 ; Wytheville, VA ; 36.9484528 ; -81.084811
Cincinnati, OH ; 39.1031182 ; -84.5120196 ; Newark, NJ ; 40.735657 ; -74.1723667
Jacksonville, FL ; 30.3321838 ; -81.65565099999999 ; Mackinaw City, MI ; 45.7774987 ; -84.72714649999999
Minturn, CO ; 39.5863749 ; -106.4308631 ; Clarkston, MI ; 42.7351196 ; -83.4192941
Brunswick, GA ; 31.1499528 ; -81.49148939999999 ; Covington, KY ; 39.0836712 ; -84.5085536
Seaside, OR ; 45.9931636 ; -123.9226385 ; Ogallala, NE ; 41.12821780000001 ; -101.7203993
Miami, FL ; 25.7616798 ; -80.1917902 ; Fort Wayne, IN ; 41.079273 ; -85.1393513
Eugene, OR ; 44.0520691 ; -123.0867536 ; Ontario, OR ; 44.0265525 ; -116.9629378
Pensacola, FL ; 30.42130899999999 ; -87.2169149 ; Baltimore, MD ; 39.2903848 ; -76.6121893
Astoria, OR ; 46.1878841 ; -123.8312534 ; Atlantic City, NJ ; 39.3642834 ; -74.4229266
